[2020/04/28 15:54:57] start=0, train=22231, val=2719, host=vm2, batch=8
[2020/04/28 15:54:57] batch=8, config='MaskFlownet_S.yaml', dataset_cfg='chairs.yaml', shard=1, gpu_device='0', checkpoint=None, clear_steps=False, network='MaskFlownet', debug=False, valid=False, predict=False, resize=''
[2020/04/28 15:55:08] steps=1, epe=24.112880477714747, total_time=0.00
[2020/04/28 15:57:02] steps=1, chairs=3117592.75, sintel.clean=16.361099243164062, sintel.final=16.638187408447266
[2020/04/28 15:57:02] steps=2, epe=23.75702020458214, total_time=124.31
[2020/04/28 15:57:02] steps=3, epe=26.31361585526281, total_time=60.62
[2020/04/28 15:57:02] steps=4, epe=24.873744806649466, total_time=39.44
[2020/04/28 15:57:02] steps=5, epe=25.3112345234483, total_time=28.86
[2020/04/28 15:57:02] steps=6, epe=24.440071775912486, total_time=22.52
[2020/04/28 15:57:03] steps=7, epe=23.34559556329239, total_time=18.30
[2020/04/28 15:57:03] steps=8, epe=22.101805340509742, total_time=15.30
[2020/04/28 15:57:03] steps=9, epe=22.15651448107134, total_time=13.05
[2020/04/28 15:57:03] steps=10, epe=22.311220098629445, total_time=11.31
[2020/04/28 15:57:03] steps=11, epe=22.84711109582734, total_time=9.93
[2020/04/28 15:57:04] steps=12, epe=22.267694668018216, total_time=8.80
[2020/04/28 15:57:04] steps=13, epe=22.348918786206838, total_time=7.86
[2020/04/28 15:57:04] steps=14, epe=23.22336248888176, total_time=7.07
[2020/04/28 15:57:04] steps=15, epe=22.975802797212836, total_time=6.40
[2020/04/28 15:57:04] steps=16, epe=22.430209746375994, total_time=5.82
[2020/04/28 15:57:04] steps=17, epe=22.112564982653495, total_time=5.32
[2020/04/28 15:57:05] steps=18, epe=21.858421119945888, total_time=4.87
[2020/04/28 15:57:05] steps=19, epe=21.85316697553833, total_time=4.48
[2020/04/28 15:57:05] steps=20, epe=21.845385787179712, total_time=4.14
[2020/04/28 15:57:10] steps=50, epe=21.509551200310383, total_time=0.76
[2020/04/28 15:57:20] steps=100, epe=22.061886334708696, total_time=0.22
[2020/04/28 15:57:29] steps=150, epe=22.521860242792588, total_time=0.19
[2020/04/28 15:57:38] steps=200, epe=22.74464224002038, total_time=0.18
[2020/04/28 15:57:47] steps=250, epe=23.144412496354363, total_time=0.18
[2020/04/28 15:57:56] steps=300, epe=23.65038649252392, total_time=0.18
[2020/04/28 15:58:06] steps=350, epe=23.288325924945628, total_time=0.18
[2020/04/28 15:58:15] steps=400, epe=23.18241306243615, total_time=0.18
[2020/04/28 15:58:24] steps=450, epe=23.100282301663942, total_time=0.18
[2020/04/28 15:58:33] steps=500, epe=22.95663456794431, total_time=0.18
[2020/04/28 15:58:42] steps=550, epe=22.667418159910948, total_time=0.18
[2020/04/28 15:58:51] steps=600, epe=22.4586875027253, total_time=0.18
[2020/04/28 15:59:01] steps=650, epe=22.670113485974028, total_time=0.18
[2020/04/28 15:59:10] steps=700, epe=22.851733942990556, total_time=0.18
[2020/04/28 15:59:19] steps=750, epe=22.52791359835469, total_time=0.18
[2020/04/28 15:59:28] steps=800, epe=22.45885048911972, total_time=0.18
[2020/04/28 15:59:37] steps=850, epe=22.64305999991074, total_time=0.18
[2020/04/28 15:59:47] steps=900, epe=22.255030335890527, total_time=0.18
[2020/04/28 15:59:56] steps=950, epe=22.372086897940584, total_time=0.18
[2020/04/28 16:00:05] steps=1000, epe=22.555016144580538, total_time=0.18
[2020/04/28 16:00:14] steps=1050, epe=22.51242177366019, total_time=0.18
[2020/04/28 16:00:23] steps=1100, epe=22.514930556939618, total_time=0.18
[2020/04/28 16:00:32] steps=1150, epe=22.144659393817697, total_time=0.18
[2020/04/28 16:00:42] steps=1200, epe=21.85887419482, total_time=0.18
[2020/04/28 16:00:51] steps=1250, epe=22.295865962346877, total_time=0.18
[2020/04/28 16:01:00] steps=1300, epe=22.34194540760877, total_time=0.18
[2020/04/28 16:01:09] steps=1350, epe=22.2472915952493, total_time=0.18
[2020/04/28 16:01:18] steps=1400, epe=22.065957896659143, total_time=0.18
[2020/04/28 16:01:27] steps=1450, epe=21.98113834895173, total_time=0.18
[2020/04/28 16:01:37] steps=1500, epe=22.051571309398504, total_time=0.18
[2020/04/28 16:01:46] steps=1550, epe=22.01998230450904, total_time=0.18
[2020/04/28 16:01:55] steps=1600, epe=22.07186489521888, total_time=0.18
[2020/04/28 16:02:04] steps=1650, epe=22.07512822732744, total_time=0.18
[2020/04/28 16:02:13] steps=1700, epe=22.175852613506756, total_time=0.18
[2020/04/28 16:02:23] steps=1750, epe=22.124079166430295, total_time=0.18
[2020/04/28 16:02:32] steps=1800, epe=21.80612276614429, total_time=0.18
[2020/04/28 16:02:41] steps=1850, epe=22.15074080873561, total_time=0.18
[2020/04/28 16:02:50] steps=1900, epe=21.82088690020601, total_time=0.18
[2020/04/28 16:02:59] steps=1950, epe=21.668183106846005, total_time=0.18
[2020/04/28 16:03:08] steps=2000, epe=21.8613820303048, total_time=0.18
[2020/04/28 16:03:17] steps=2050, epe=21.786285141541423, total_time=0.18
[2020/04/28 16:03:27] steps=2100, epe=22.575651441950484, total_time=0.18
[2020/04/28 16:03:36] steps=2150, epe=22.656513500991043, total_time=0.18
[2020/04/28 16:03:45] steps=2200, epe=22.43051564014606, total_time=0.18
[2020/04/28 16:03:54] steps=2250, epe=22.3203789598036, total_time=0.18
[2020/04/28 16:04:03] steps=2300, epe=22.91588316750273, total_time=0.18
[2020/04/28 16:04:13] steps=2350, epe=22.972647673378557, total_time=0.18
[2020/04/28 16:04:22] steps=2400, epe=22.710030873267264, total_time=0.18
[2020/04/28 16:04:31] steps=2450, epe=22.556072685455742, total_time=0.18
[2020/04/28 16:04:40] steps=2500, epe=23.2016499171254, total_time=0.18
[2020/04/28 16:05:56] steps=2500, chairs=2234541.75, sintel.clean=13.44925594329834, sintel.final=13.456538200378418
[2020/04/28 16:06:05] steps=2550, epe=23.215870127644013, total_time=0.49
[2020/04/28 16:06:14] steps=2600, epe=22.73550710227977, total_time=0.21
[2020/04/28 16:06:23] steps=2650, epe=22.859232060969234, total_time=0.19
[2020/04/28 16:06:32] steps=2700, epe=22.55567344801246, total_time=0.18
