,X,Y
0,317.25,248.0
1,111.5,276.25
2,84.5,214.25
3,28.5,249.75
4,201.5,262.75
5,67.25,278.75
6,155.0,289.5
7,184.75,250.5
8,53.0,261.0
9,42.25,235.5
10,87.0,215.5
11,71.0,254.75
12,441.5,224.5
13,351.5,243.0
14,397.0,262.0
15,135.0,275.0
16,380.0,247.0
17,242.0,217.0
18,209.5,285.0
19,151.0,277.0
20,20.0,241.5
21,32.0,208.5
22,97.0,220.0
23,330.0,235.5
24,136.0,219.5
25,29.5,221.0
26,266.0,263.0
27,197.0,209.0
28,176.0,264.5
29,253.0,271.0
30,301.5,234.0
31,285.0,250.0
32,227.0,221.5
33,179.0,278.0
34,364.5,243.0
35,112.5,253.5
36,430.5,239.0
37,425.0,220.0
38,99.5,275.0
39,381.5,255.0
40,34.5,226.0
41,392.5,261.0
42,483.0,204.5
43,126.5,274.5
44,252.0,214.0
45,440.0,243.0
46,341.0,243.0
47,357.0,230.0
48,68.0,212.0
49,277.0,260.0
50,297.0,246.0
51,214.0,270.0
52,235.0,288.0
53,281.0,225.0
54,94.0,260.0
